-5.214841362323981988e-01 1.881636979378222723e-09
-4.983071776984241419e-01 1.881636979378222558e-08
-4.751302191644500850e-01 1.881636979378222558e-07
-4.519532606304760280e-01 1.881636979378222769e-06
-4.287763020965020266e-01 1.881636979378222896e-05
-4.055993435625279697e-01 1.881636979378222625e-04
-2.560418961969009310e-01 3.978829880908854350e-04
-1.692611865994856912e-01 5.933135413687760235e-04
-1.019337902519770744e-01 1.159560567629138155e-03
-4.957823767133035658e-02 1.717320215987501149e-03
-6.943797071723839358e-03 2.278815130495857617e-03
2.707144620190576542e-02 2.732628490418686530e-03
5.550793011055866338e-02 4.586358075958699848e-03
8.012989306265511091e-02 5.886710965145002840e-03
1.017830323347254373e-01 7.304776630496574892e-03
1.211194089561525578e-01 1.021149133894497067e-02
1.382626943814824205e-01 1.143007473098809311e-02
1.537879343766428708e-01 1.300657730981280395e-02
1.679819020127446827e-01 1.487878006923460880e-02
1.809673735551149409e-01 2.234398888659424112e-02
1.929567043482285360e-01 2.291559273966213214e-02
2.040944063296979416e-01 2.276231821207261655e-02
2.145245136838574429e-01 3.429704147943106463e-02
2.242850496104921432e-01 3.466452472041869903e-02
2.334174112211725716e-01 4.598669183277921679e-02
2.420358468052604961e-01 4.573120120467950855e-02
2.502134530442715055e-01 4.997128115544308136e-02
2.579033751081923898e-01 6.362290714209380138e-02
2.652345849683431789e-01 5.652633342060073979e-02
2.722979387302497667e-01 6.814615550299703284e-02
2.790461647282317381e-01 6.775575023864506552e-02
2.855579509771932756e-01 7.656123079855491065e-02
2.918482311125850104e-01 7.893847071307885654e-02
2.978656160974217926e-01 9.113438246021041134e-02
3.036653561522211775e-01 9.593426212946311316e-02
3.093037294908130286e-01 1.119462011676241736e-01
3.147682483171878598e-01 1.202887596379205726e-01
3.200639659356490085e-01 1.266719017985656892e-01
3.252322148683083336e-01 1.264597538702847412e-01
3.302709526938558682e-01 1.366112993572133893e-01
3.351702588638256763e-01 1.388334720012165957e-01
3.399573568129389267e-01 1.466539657774888483e-01
3.446459790291402925e-01 1.471372545403850929e-01
