    0.12902 1.0013e+03 3.5714e+01     1117.0 1.0013e+03
    0.20477 6.3091e+02 2.0248e+01     1837.0 6.3091e+02
    0.32593 4.1128e+02 1.2574e+01     3145.0 4.1127e+02
    0.51673 2.5660e+02 7.1729e+00     5346.0 2.5660e+02
    0.81977 1.5682e+02 5.0758e+00     9352.0 1.5683e+02
    1.30314 9.8758e+01 3.3727e+00    17531.0 9.8763e+01
    2.07009 6.8472e+01 2.5182e+00    36066.0 6.8474e+01
    3.28201 4.9571e+01 1.9044e+00    78002.0 4.9578e+01
    5.20685 3.4580e+01 1.5547e+00   169647.0 3.4584e+01
    8.25702 2.3390e+01 1.3929e+00   373314.0 2.3390e+01
