    0.12662 4.6348e+02 4.9529e+01      127.0 4.6830e+02
    0.20482 2.6045e+02 2.7167e+01      196.0 2.6138e+02
    0.33269 1.5471e+02 1.5507e+01      334.0 1.5474e+02
    0.52021 9.7224e+01 7.7511e+00      628.0 9.7217e+01
    0.82984 7.5032e+01 4.7300e+00     1362.0 7.5031e+01
    1.31627 5.7188e+01 2.9133e+00     2996.0 5.7190e+01
    2.07791 3.6737e+01 1.8892e+00     6309.0 3.6741e+01
    3.29532 2.5948e+01 1.3919e+00    14217.0 2.5947e+01
    5.20678 1.9565e+01 9.5959e-01    32953.0 1.9569e+01
    8.27259 1.2728e+01 8.3316e-01    75011.0 1.2730e+01
