8.7 5.64873e+08 2.65365e+08 3.56784e+08 4.02363e+07
8.8 5.31132e+08 2.33783e+08 3.09377e+08 4.91038e+07
8.9 3.95704e+08 1.69373e+08 3.46788e+08 4.4835e+07
9 2.80231e+08 1.0044e+08 3.8274e+08 3.22748e+07
9.1 4.1114e+08 1.40614e+08 4.40654e+08 4.02938e+07
9.2 4.97683e+08 1.15818e+08 4.15532e+08 3.56643e+07
9.3 6.08163e+08 1.70457e+08 5.56129e+08 6.4028e+07
9.4 5.55665e+08 7.94462e+07 4.57784e+08 4.22762e+07
9.5 6.43467e+08 7.26278e+07 4.96615e+08 3.80974e+07
9.6 6.91097e+08 6.82228e+07 5.44076e+08 3.71091e+07
9.7 7.52829e+08 5.65493e+07 6.596e+08 3.71318e+07
9.8 9.31242e+08 5.88495e+07 6.49889e+08 3.51673e+07
9.9 1.12544e+09 5.46376e+07 8.47073e+08 4.82865e+07
10 1.51235e+09 6.44509e+07 1.08489e+09 5.28946e+07
10.1 1.82238e+09 6.16442e+07 1.25883e+09 5.80129e+07
10.2 2.18716e+09 6.40339e+07 1.49514e+09 7.10815e+07
10.3 2.74138e+09 7.43719e+07 1.75544e+09 1.0139e+08
10.4 3.64e+09 9.76247e+07 2.10294e+09 1.31047e+08
10.5 4.76768e+09 1.33191e+08 2.34469e+09 1.69112e+08
10.6 6.32173e+09 1.87573e+08 3.20775e+09 2.86646e+08
10.7 8.37874e+09 2.60432e+08 2.7534e+09 3.53124e+08
10.8 1.09817e+10 3.97339e+08 5.23425e+09 9.29771e+08
10.9 1.15901e+10 4.98088e+08 8.59909e+09 1.98691e+09
11 1.38575e+10 7.79099e+08 7.6927e+09 3.37164e+09
