    0.13040 3.0881e+03 1.5164e+03      334.0 3.0938e+03
    0.20871 2.6882e+03 1.3633e+03      686.0 2.6863e+03
    0.32833 2.0964e+03 1.3108e+03     1344.0 2.0939e+03
    0.51758 1.5909e+03 1.0636e+03     2530.0 1.5893e+03
    0.81533 1.0503e+03 8.0168e+02     4277.0 1.0496e+03
    1.28580 6.0716e+02 4.8388e+02     6308.0 6.0704e+02
    2.02740 2.9275e+02 2.2554e+02     8182.0 2.9295e+02
    3.17729 9.0512e+01 4.9202e+01     8414.0 9.0682e+01
    5.19865 2.5813e+01 1.6671e+01    12524.0 2.5909e+01
    8.20451 6.6763e+00 1.1559e+01    22727.0 6.6800e+00
