    0.12949 6.6711e+02 2.1401e+01     3132.0 6.6713e+02
    0.20672 4.7160e+02 1.6724e+01     5806.0 4.7161e+02
    0.32608 3.4079e+02 1.4795e+01    11019.0 3.4081e+02
    0.51682 2.3673e+02 1.1990e+01    20600.0 2.3674e+02
    0.81950 1.5415e+02 9.2626e+00    37606.0 1.5416e+02
    1.30139 9.7313e+01 6.9778e+00    70785.0 9.7328e+01
    2.06855 6.4234e+01 4.9089e+00   142048.0 6.4244e+01
    3.28322 4.3177e+01 3.6122e+00   299067.0 4.3188e+01
    5.20626 2.9817e+01 3.0177e+00   650342.0 2.9825e+01
    8.25788 2.0504e+01 2.2947e+00  1443205.0 2.0512e+01
