    0.13123 1.9979e+03 3.7146e+02      909.0 1.9993e+03
    0.20665 1.5592e+03 3.0842e+02     1792.0 1.5602e+03
    0.32568 1.1280e+03 2.5418e+02     3250.0 1.1281e+03
    0.51397 7.3931e+02 1.7619e+02     5507.0 7.3947e+02
    0.81707 4.6376e+02 1.3156e+02     8973.0 4.6392e+02
    1.28547 2.5797e+02 8.8722e+01    13679.0 2.5813e+02
    2.05643 1.5597e+02 5.4206e+01    23237.0 1.5614e+02
    3.25364 7.7822e+01 2.4893e+01    37450.0 7.7925e+01
    5.17122 2.9448e+01 8.9591e+00    63515.0 2.9480e+01
    8.27006 1.7126e+01 7.4464e+00   135131.0 1.7123e+01
