    0.12990 1.8425e+02 8.3514e+00      738.0 1.8425e+02
    0.20649 1.1151e+02 6.6472e+00     1315.0 1.1151e+02
    0.32736 9.3142e+01 3.6405e+00     2940.0 9.3135e+01
    0.52099 7.0256e+01 3.1878e+00     6323.0 7.0255e+01
    0.82504 5.4220e+01 2.2445e+00    13926.0 5.4220e+01
    1.31051 4.2176e+01 2.0012e+00    31340.0 4.2177e+01
    2.07592 3.3077e+01 1.5841e+00    71732.0 3.3081e+01
    3.29151 2.3952e+01 1.4638e+00   162663.0 2.3954e+01
    5.21483 1.7762e+01 1.3254e+00   374086.0 1.7766e+01
    8.26578 1.2081e+01 1.0974e+00   852762.0 1.2083e+01
